SKU,Description,Price,UOM,Family,Product,Type,Item,Dielectric,Noise Reduction Rating NRR,Radio Band Type,Ear Muff Style,Ear Muff Cup Color,Series,Features,Standards,For Use With,Disposable/ Reusable,Insertion Method,Metal Detectable,Ear Plug Color,Ear Plug Material,Ear Plug Shape,Ear Plug Size,Cord Options,Band Color - Hearing Protection,Cord Color,Cord Material - Hearing Protection,Pairs Per Package,Ear Plug Packaging,Ear Plug Pair Pack Type,Band Material - Hearing Protection,Material - Ear Plug Dispensers,Height - Ear Plug Dispensers,Width - Ear Plug Dispensers,Depth - Ear Plug Dispensers,Mounting Style - Ear Plug Dispensers,Dispenser Lid Style,Includes,Capacity - Pairs of Ear Plugs,Green Environmental Attribute,Ear Muff Cushion Material,Ear Muff Type,Compatible Earmuff,Compatible Mfg. Model Number,Replacement Pad Grainger Part Number,Weight,Mounting Hole Center to Center,Number of Mounting Holes,Battery Type,Auxiliary Input,Compatible Dispensing System,Compatible Grainger Part Number,Compatible Banded Earplug,Headset Style,In Ear / On Ear / Over Ear LOV,One Ear / Two Ear,Volume Control,Push To Talk,Noise Canceling,Color,Batteries Included,Battery Size,Number of Batteries,Wired Connection Type,Connection Type - Head Protection,Cable Style,Frequency Range,System Requirements,Green Certification or Other Recognition,Ear Muff Cup Material
15Y776,Ear Plug Dispenser,$88.49 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Universal,,,,,,,,,,,,,,,,Acrylic,"13""","6""","8""","Table Top, Wall",Hinged Lid,Legend: Wear Your Earplugs It's Sound Advice,100 to 150 Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R195,"Ear Plugs, Corded, Bell, 33dB, PK5",$1.96 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,Max(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,No,Coral,Foam,Bell,M,Corded,Turquoise,Turquoise,PVC,5,Vending Pack,Plastic Bag,PVC,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R196,"Ear Plugs, Uncorded, Contoured-T, 32dB, PK5",$0.88 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Laser Lite(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,No,"Magenta, Yellow",Foam,Contoured-T,M,Uncorded,,,,5,Vending Pack,Plastic Bag,,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R197,"Ear Plugs, Corded, Contoured-T, 32dB, PK5",$1.73 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Laser Lite(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,No,"Magenta, Yellow",Foam,Contoured-T,M,Corded,Yellow,Yellow,PVC,5,Vending Pack,Plastic Bag,PVC,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R198,"Ear Plugs, Uncorded, Contoured-T, 30dB, PK5",$0.34 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,30dB,,,,Max Lite(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,No,Green,Foam,Contoured-T,M,Uncorded,,,,5,Vending Pack,Plastic Bag,,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R199,"Ear Plugs, Corded, Contoured-T, 30dB, PK5",$1.70 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,30dB,,,,Max Lite(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,No,Green,Foam,Contoured-T,M,Corded,Yellow,Yellow,PVC,5,Vending Pack,Plastic Bag,PVC,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R201,"Ear Plugs, Uncorded, Bell, 26dB, PK5",$2.76 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,26dB,,,,Quiet(R),,ANSI S3.19-1974 Tested,,Reusable,Push-In,No,Orange,Foam,Bell,M,Uncorded,,,,5,Vending Pack,Plastic Bag,,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R202,"Ear Plugs, Corded, Bell, 26dB, PK5",$4.74 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,26dB,,,,Quiet(R),,ANSI S3.19-1974 Tested,,Reusable,Push-In,No,Orange,Foam,Bell,M,Corded,Orange,Orange,Vinyl,5,Vending Pack,Plastic Bag,Vinyl,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16R203,"Ear Plugs, Corded, Contoured-T, 33dB, PK5",$2.66 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,33dB,,,,Laser Trak(R),,ANSI S3.19-1974 Tested,,Disposable,Roll-Down,Yes,"Blue, Orange",Foam,Contoured-T,M,Corded,Blue,Blue,PVC,5,Vending Pack,Plastic Bag,PVC,,,,,,,,,"Does not Contain Phthalates, Formaldehyde, Toxic Metals, Aromatic and Halogenated Compounds, Butoxyethanol, 2-Methoxyethanl, Isophorone, Methyl Ethyl Ketone, Methyl Isobutyl Ketone, Acrolein, Acrylonitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AV18,"Bell Ear Plugs,  28dB Noise Reduction Rating NRR,  Corded,  S,  Yellow,  PK 200",$64.01 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,28dB,,,,E-A-R(TM) E-Z-Fit(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Yellow,Soft Foam,Bell,S,Corded,Blue,Blue,Vinyl,200,"Bulk Box, Wrapped Pairs",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C137,"Hard Hat Mounted Ear Muffs,  27dB Noise Reduction Rating NRR,  Dielectric No,  Black, Red",$35.28 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,27dB,,Hard Hat Mounted,"Black, Red",Optime,,ANSI S3.19-1974,Hard Hats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C139,"Over-the-Head Ear Muffs,  30dB Noise Reduction Rating NRR,  Dielectric No,  Black, Red",$35.86 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,30dB,,Over-the-Head,"Black, Red",Optime,"Replaceable Wide Foam Filled Ear Cushions, Wide Softly Padded Headband With Stainless Spring Steel Wires",ANSI S3.19-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GAD4,"Ear Muffs, Behind-the-Neck, 22dB",$13.84 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,22dB,,Behind-the-Neck,Black,Leightning(R),"Steel Wire Construction, Air Flow Control, Snap In Ear Cushions, Attached Headband Strap For Positioning, Ultra Slim Earcups",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Metal,,,,,,,Elastic Headband Strap,,,Foam,Rigid,Leightning(R) L0N,1011998,3NKX2,6 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1GAD6,"Over-the-Head Ear Muffs,  27dB Noise Reduction Rating NRR,  Dielectric No,  Green",$26.30 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,27dB,,Over-the-Head,Green,Leightning(R) High Visibility,"Bright Green Earcups, Reflective Headband, Air Flow Control, Snap In Ear Cushions",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Metal,,,,,,,,,,Foam,Foldable,Leightning(R) L2FHV Neckband Earmuff,1011999,3NKW9,8.3 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1GAD7,"Over-the-Head Ear Muffs,  30dB Noise Reduction Rating NRR,  Dielectric No,  Green",$29.45 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,30dB,,Over-the-Head,Green,Leightning(R) High Visibility,"Steel Wire Construction, Air Flow Control, Snap In Ear Cushions, Headband For Positioning, Bright Green Earcups, Reflective Headband",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Metal,,,,,,,Headband Strap,,,Foam,Rigid,Leightning(R) L3HV Neckband Earmuff,1012000,3NKW7,10.5 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1GAD8,Ear Plug Dispenser,$87.18 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,"Matrix(TM), Max(R), Max Lite(R), Laser Lite(R), MultiMax(R) and Quiet(R) Ear Plugs",,,,,,,,,,,,400,,,,ABS/POM Plastic,"20""","7""","7""","Table Top, Wall",,,400 Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GAD9,"Bell Ear Plugs,  33dB Noise Reduction Rating NRR,  Uncorded,  M,  Coral,  PK 200",$364.00 ,"/ pkg. of 2,000",safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,Max(R),,ANSI S3.19-1974 Tested,,Disposable,,No,Coral,Soft Foam,Bell,M,Uncorded,,,,200,"Bulk Bag, Unwrapped",,,,,,,,,(200) Pair of Earplugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GAE1,"Contoured-T Ear Plugs,  30dB Noise Reduction Rating NRR,  Uncorded,  M,  Green,  PK 200",$34.02 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,30dB,,,,Laser Lite(R),,ANSI S3.19-1974 Tested,,Disposable,,No,Green,Soft Foam,Contoured-T,M,Uncorded,,,,200,"Bulk Bag, Unwrapped",,,,,,,,,(200) Banded Pkrplugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GAE2,"Contoured-T Ear Plugs,  32dB Noise Reduction Rating NRR,  Uncorded,  M,  Magenta, Yellow,  PK 200",$301.60 ,"/ pkg. of 2,000",safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Laser Lite(R),,ANSI S3.19-1974 Tested,,Disposable,,No,"Magenta, Yellow",Soft Foam,Contoured-T,M,Uncorded,,,,200,"Bulk Bag, Unwrapped",,,,,,,,,(200) Banded Pkrplugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GAE3,"Cylinder Ear Plugs,  29dB Noise Reduction Rating NRR,  Uncorded,  M,  Orange,  PK 200",$36.06 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,29dB,,,,Matrix(TM),,ANSI S3.19-1974 Tested,,Disposable,,No,Orange,Foam,Cylinder,M,Uncorded,,,,200,"Bulk Bag, Unwrapped",,,,,,,,,(200) Pair of Earplugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MCD8,"Cone Ear Plugs,  32dB Noise Reduction Rating NRR,  Corded,  Universal,  Silver,  PK 120",$107.00 ,/ pkg. of 120,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Skull Screws(TM),,ANSI S3.19-1974,,Disposable,Push-In,No,Silver,Soft Foam,Cone,Universal,Corded,Gray,Gray,Vinyl,120,"Bulk Bag, Unwrapped",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MCD9,"Cone Ear Plugs,  32dB Noise Reduction Rating NRR,  Uncorded,  M,  Gray,  PK 120",$69.55 ,/ pkg. of 120,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Skull Screws(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Gray,Foam,Cone,M,Uncorded,,,,120,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MCE1,"Flanged Ear Plugs,  27dB Noise Reduction Rating NRR,  Uncorded,  Universal,  Blue, Yellow,  PK 100",$97.04 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,27dB,,,,E-A-R(TM) UltraFit(TM) 27,,ANSI S3.19-1974,,Reusable,Push-In,No,"Blue, Yellow",Vinyl,Flanged,M,Uncorded,,,,100,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MCE2,"Flanged Ear Plugs,  27dB Noise Reduction Rating NRR,  Corded,  M,  Yellow,  PK 100",$149.00 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,27dB,,,,E-A-R(TM) UltraFit(TM) 27,,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Vinyl,Flanged,M,Corded,Blue,Blue,Vinyl,100,Bulk Box,Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RY32,"Hard Hat Mounted Ear Muffs,  23dB Noise Reduction Rating NRR,  Dielectric Yes,  Green",$15.69 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,23dB,,Hard Hat Mounted,Green,Thunder(R),"Air Flow Control, Snap In Ear Cushions, Hard Hat Adapter",ANSI S3.19-1974,Hard Hats,,,,,,,,,,,,,,,Metal,,,,,,,Hard Hat Adapter Mfr. Model No. 13910096 and 3178,,,Foam,Rigid,Thunder(R) Noise Blocking Earmuff,1010974,3NKW6,6.1 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1RY34,"Ear Muffs, Hard Hat Mounted, 25dB",$23.80 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,25dB,,Hard Hat Mounted,Green,Thunder(R),"Air Flow Control, Snap In Ear Cushions, Hard Hat Adapter",ANSI S3.19-1974,Hard Hats,,,,,,,,,,,,,,,,,,,,,,Hard Hat Adapter Mfr. Model No. 13910096 and 3178,,,Foam,Rigid,Thunder(R) T2H,1010975,3NKW5,7.6 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1RY40,"Behind-the-Neck Ear Muffs,  25dB Noise Reduction Rating NRR,  Dielectric No,  Gray",$14.15 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,25dB,,Behind-the-Neck,Gray,Leightning(R),"Steel Wire Construction, Air Flow Control, Snap In Ear Cushions, Headband For Positioning",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Plastic,,,,,,,,,,Foam,Rigid,Leightning(R) L1N Neckband Earmuff,"1011998, 1000365, 1000364, 3302101, 1016870, 1016871","3NKX2, 36G707, 6AV10",6 oz.,,,,,,,,,,,,,,,,,,,,,,,,
1VJY1,"Bell Ear Plugs,  33dB Noise Reduction Rating NRR,  Uncorded,  M,  Yellow,  PK 200",$43.23 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,E-A-Rsoft(TM) FX(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Yellow,Foam,Bell,M,Uncorded,,,,200,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1VJY2,"Bell Ear Plugs,  33dB Noise Reduction Rating NRR,  Corded,  Universal,  Yellow,  PK 200",$66.50 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,E-A-Rsoft(TM) FX(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Yellow,Soft Foam,Bell,Universal,Corded,Orange,Orange,Vinyl,200,"Bulk Box, Wrapped Pairs",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1VJY3,"Cone Ear Plugs,  30dB Noise Reduction Rating NRR,  Uncorded,  Universal,  Yellow,  PK 200",$104.82 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,30dB,,,,E-A-R(TM) Push-Ins(TM) with Grip Rings,,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Soft Foam,Cone,Universal,Uncorded,,,,200,"Bulk Box, Wrapped Pairs",Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1VJY4,"Cone Ear Plugs,  30dB Noise Reduction Rating NRR,  Corded,  M,  Yellow,  PK 200",$161.27 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,30dB,,,,E-A-R(TM) Push-Ins(TM) with Grip Rings,,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Foam,Cone,M,Corded,Blue,Blue,Vinyl,200,Bulk Box,Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1VKA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20JK03,"Cylinder Ear Plugs,  29dB Noise Reduction Rating NRR,  Uncorded,  Universal,  Orange,  PK 200",$36.06 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,29dB,,,,Condor,,ANSI S3.19-1974,,Disposable,Roll-Down,No,Orange,Foam,Cylinder,M,Uncorded,,,,200,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20JK04,"Cylinder Ear Plugs,  29dB Noise Reduction Rating NRR,  Corded,  Universal,  Orange,  PK 200",$55.48 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,29dB,,,,Condor,,ANSI S3.19-1974,,Disposable,Roll-Down,No,Orange,Foam,Cylinder,M,Corded,Blue,Blue,PVC,200,Bulk Box,Plastic Bag,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20JK05,"Flanged Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  Universal,  Blue,  PK 200",$279.70 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,25dB,,,,Condor,,ANSI S3.19-1974,,Reusable,Push-In,Yes,Blue,Foam,Flanged,Universal,Corded,Blue,Blue,Vinyl,200,"Bulk Bag, Wrapped Pairs",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20JK06,"Ear Plugs, Uncorded, Bullet, 32dB, PK200",$32.27 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Condor,,ANSI S3.19-1974,,Disposable,Roll-Down,No,Purple,Foam,Bullet,M,Uncorded,,,,200,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20JK07,"Ear Plugs, Corded, Bullet, 32dB, PK100",$26.13 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Condor,,ANSI S3.19-1974,,Disposable,Roll-Down,No,Purple,Foam,Bullet,Universal,Corded,Yellow,Yellow,Polyurethane,100,"Bulk Bag, Wrapped Pairs",Plastic Bag,Polyurethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20RY07,Ear Plug Dispenser,$69.12 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Ear Plugs,,,,,,,,,,,,,,,,Acrylic,"9-3/4""","7-3/4""","5""","Table Top, Wall",Hinged Lid,,100 Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20RY09,Ear Plug Dispenser,$139.77 ,/ each,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser,,,,,,,,,Ear Plugs,,,,,,,,,,,,,,,,Acrylic,"10""","12-5/8""","6-3/4""","Table Top, Wall",Hinged Lid,,150 Pairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21C995,"Ear Plugs, Corded, 32dB, PK100",$32.95 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,Blue(TM),,ANSI,,Disposable,Roll-Down,No,Blue,Soft Foam,Bell,M,Corded,Blue,Blue,PVC,100,"Bulk Bag, Unwrapped",,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21DE14,"Ear Muffs, Over-the-Head, NRR 22dB",$17.65 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,22dB,,Over-the-Head,"Black, Green",X Series,,NRRb 22 dB. CSA Class A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21DE15,"Ear Muffs, Over-the-Head, NRR 24dB",$20.34 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,24dB,,Over-the-Head,"Black, Yellow",X Series,,NRRb 24 dB. CSA Class A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
